address,name,symbol,label
0x0000000000b3f879cb30fe243b4dfee438691c04,Gastoken.io,GST2,scam
0x0006abbe90dc7e63fb9161969a5c9ee7ad62e901,Mandalorian.Finance,IG-11,scam
0x000ae26329aa0c57b9badbdee2996624272905e9,MetaLUNA,MUNA,scam
0x000e8a19eb6e5882de57e817ecf00fa7fa595b16," pearl.finance ","  PEARL",scam
0x001d4a78ad1508e08ba25119f562d5970993f41f,Zenith Coin,ZTH,scam
0x001ed2d6f4fb995572646bc21420bbc0f3cd89d4,SHIBAMARS,SHIBAMARS,scam
0x001ed91e7b2ebe579e3d051fd32130087324b13d,corelp,core,scam
0x001f0aa5da15585e5b2305dbab2bac425ea71007,IPSX,IPSX,truthworthy
0x0020c438f90e635ea0f3d05ba30db61c6812e256,Tomi Token,TOMI,truthworthy
0x002eded60c6faf61b5dcfa8fb5832a388fc38523,DogeStop,DOGES,scam
0x003b6561606c439a14909f4b0a29fc452209d540,YFIO Protocol,YFIO,scam
0x003da78deb9dd263d46bf992da4fa255aa9766fc,CuteBullCoin,CBC,scam
0x0048dc5ace0a2ed26e3aaa0f573cc4e82ab262fb,ETH-CORE,EHC,truthworthy
0x004e53aed4a41981f61fff1a227635bdeb5a0d65,Zero Moment Point Token,ZMP,scam
0x004f63e3269b5ff823d3130a3cee5a710fbed4ba,LIGHTNING SHIBA | lightningshib.com,Lightning Shiba ⚡️,scam
0x005039bdddcdb9d8417d434e3241620bb5aefa87,DWEToken,DWE,scam
0x00513934474eee5f666edaad418ce9c1e2f48011,ETH MOON DOG,EMD,scam
0x00521c351e842f7c4c92c2949eaaf33dbf08e49a,LumaParty | t.me/lumaparty,LUPA,scam
0x00559b8719ef09ff7ceda48992f3f4edb55a349b,Glizzy Finance,GLIZZ,scam
0x005734a34882113c2fcfa5bfc1ce477d11af3260,Pajeet Token,PAJ,scam
0x0058eeba118d491fd18abed9829c0b9556ce24ba,Gen Token,GEN,scam
0x005d36beef6cf9844d5cf844dde9507736022ca5,WenCoinbase,WC,scam
0x00680c756658c8361260d3b46375f2142bf52795,Tellor Tribute V2,TRB v2,scam
0x00685209b97d9b51c38b0f2d007bc37758df45d3,Draco,DRA,scam
0x006ff2b003286e9269eedddf5cca01464789374e,ETH in a box!,EIAB,scam
0x007a64f9d0b97c21a1c4507d2d5e4828d9390852,CARDIAC,CDC,scam
0x007aa510fdadc82dfc047c6e6930231a62e2b313,Mars Dog Coin,MARS DOGE,scam
0x007bead59a807eb50aef56e80e3aecbab9a3026e,Alpha Wolf,WOLF,scam
0x007f9fc30540cd396af627e6b93e4d742e724898,LaEeb,LaEeb,truthworthy
0x0080cfc1b3177a45a4459b2e85cd202c26b37eb9,DogeOrbit,DOBIT,truthworthy
0x0080d4b7be95b550a69e8789340baa38da771743,XPAUSD,USX,scam
0x0082ea5a7d3f7a117945cf7174335862b98132e7,LOVE,ART,scam
0x008f1d94ad209a5cc9439ba515f619f1d015412e,1 Trait Danger Token,OTD,scam
0x008fba7f46446014fd458c47f1cc35f2f7c020b7,Contract Verified,COVi,scam
0x0091d7884c375c148e5cd7607f463a5da2990b32,Litecoin Uniswap,LTCu,truthworthy
