Date: 16.11.2025
Total amount: 463457
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2: 452543"
"0xdac17f958d2ee523a2206206994597c13d831ec7: 3202"
"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599: 304"
"0x514910771af9ca656af840dff83e8264ecf986ca: 153"
"0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce: 127"
"0xd31695a1d35e489252ce57b129fd4b1b05e6acac: 66"
"0xa91c82b6933105c23298e631a0c1be751d239162: 61"
"0x0d8775f648430679a709e98d2b0cb6250d2887ef: 40"
"0xbf4a2ddaa16148a9d0fa2093ffac450adb7cd4aa: 37"
"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2: 37"
"0x57ab1ec28d129707052df4df418d58a2d46d5f51: 36"
"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f: 30"
"0x408e41876cccdc0f92210600ef50372656052a38: 29"
"0x697ef32b4a3f5a4c39de1cb7563f24ca7bfc5947: 28"
"0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c: 26"
"0xe41d2489571d322189246dafa5ebde1f4699f498: 25"
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942: 23"
"0xdd974d5c2e2928dea5f71b9825b8b646686bd200: 22"
"0x9b53e429b0badd98ef7f01f03702986c516a5715: 22"
"0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d: 19"
"0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c: 17"
"0x9b9087756eca997c5d595c840263001c9a26646d: 17"
"0x27c70cd1946795b66be9d954418546998b546634: 17"
"0xdf2c7238198ad8b389666574f2d8bc411a4b7428: 16"
"0xa16001dd47f505b7b7c5639c710a52209e4e8904: 16"
"0xb6ed7644c69416d67b522e20bc294a9a9b405b31: 16"
"0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e: 15"
"0xd26114cd6ee289accf82350c8d8487fedb8a0c07: 14"
"0x4954db6391f4feb5468b6b943d4935353596aec9: 13"
"0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea: 12"
"0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b: 12"
"0x949bed886c739f1a3273629b3320db0c5024c719: 12"
"0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206: 11"
"0x9469d013805bffb7d3debe5e7839237e535ec483: 11"
"0x6f259637dcd74c767781e37bc6133cd6a68aa161: 11"
"0x55296f69f40ea6d20e478533c15a6b08b654e758: 11"
"0x4a220e6096b25eadb88358cb44068a3248254675: 11"
"0x3472a5a71965499acd81997a54bba8d852c6e53d: 11"
"0xdb25f211ab05b1c97d595516f45794528a807ad8: 10"
"0xec67005c4e498ec7f55e092bd1d35cbc47c91892: 10"
"0xb4efd85c19999d84251304bda99e90b92300bd93: 10"
"0x9c405acf8688afb61b3197421cdeec1a266c6839: 10"
"0x8762db106b2c2a0bccb3a80d1ed41273552616e8: 10"
"0x9355372396e3f6daf13359b7b607a3374cc638e0: 10"
"0x68a118ef45063051eac49c7e647ce5ace48a68a5: 10"
"0x5197fbe1a86679ff1360e27862bf88b0c5119bd8: 10"
"0x3301ee63fb29f863f2333bd4466acb46cd8323e6: 10"
"0x1f3f677ecc58f6a1f9e2cf410df4776a8546b5de: 10"
"0x1776e1f26f98b1a5df9cd347953a26dd3cb46671: 10"
"0x05d3606d5c81eb9b7b18530995ec9b29da05faba: 10"
"0xfa3e941d1f6b7b10ed84a0c211bfa8aee907965e: 9"
"0x6c6ee5e31d828de241282b9606c8e98ea48526e2: 9"
"0x607f4c5bb672230e8672085532f7e901544a7375: 9"
"0x58b6a8a3302369daec383334672404ee733ab239: 9"
"0x4b7ad3a56810032782afce12d7d27122bdb96eff: 9"
"0x056fd409e1d7a124bd7017459dfea2f387b6d5cd: 9"
"0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9: 8"
"0x595832f8fc6bf59c85c527fec3740a1b7a361269: 8"
"0x419d0d8bdd9af5e606ae2232ed285aff190e711b: 8"
"0x3a75731f9e16244de01dd431636db7c07d42a166: 8"
"0x2d80f5f5328fdcb6eceb7cacf5dd8aedaec94e20: 8"
"0x29428639d889fa989405ee9baf3ba088e6994edc: 8"
"0x27fbdd15fb0820b50b9c3683ea628bb6ab9b2d70: 8"
"0x178c820f862b14f316509ec36b13123da19a6054: 8"
"0x0a9f693fce6f00a51a8e0db4351b5a8078b4242e: 8"
"0x0698dda3c390ff92722f9eed766d8b1727621df9: 8"
"0x09e64c2b61a5f1690ee6fbed9baf5d6990f8dfd0: 8"
"0x0000000000b3f879cb30fe243b4dfee438691c04: 8"
"0xe8406598b63e574dda2d669f22622705d68e72fb: 7"
"0xcf8335727b776d190f9d15a54e6b9b9348439eee: 7"
"0xa150db9b1fa65b44799d4dd949d922c0a33ee606: 7"
